rank	title	link	year	genre	description
39	Rocky	https://www.imdb.com/title/tt0075148/?ref_=adv_li_tt	1976	Drama, Sport	A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.
40	Pride & Prejudice	https://www.imdb.com/title/tt0414387/?ref_=adv_li_tt	2005	Drama, Romance	Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?
41	Joker	https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt	I 2019	Crime, Drama, Thriller	During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.
42	Goodfellas	https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt	1990	Biography, Crime, Drama	The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.
43	Se7en	https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt	1995	Crime, Drama, Mystery	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
44	American Psycho	https://www.imdb.com/title/tt0144084/?ref_=adv_li_tt	2000	Crime, Drama, Horror	A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.
45	Donnie Darko	https://www.imdb.com/title/tt0246578/?ref_=adv_li_tt	2001	Drama, Mystery, Sci-Fi	After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.
46	Knives Out	https://www.imdb.com/title/tt8946378/?ref_=adv_li_tt	2019	Comedy, Crime, Drama	A detective investigates the death of the patriarch of an eccentric, combative family.
47	Avengers: Endgame	https://www.imdb.com/title/tt4154796/?ref_=adv_li_tt	2019	Action, Adventure, Drama	After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.
48	Taxi Driver	https://www.imdb.com/title/tt0075314/?ref_=adv_li_tt	1976	Crime, Drama	A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.
49	Ghostbusters	https://www.imdb.com/title/tt0087332/?ref_=adv_li_tt	1984	Action, Comedy, Fantasy	Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.
50	The Gentlemen	https://www.imdb.com/title/tt8367814/?ref_=adv_li_tt	2019	Action, Crime	An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.
51	Schindler's List	https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt	1993	Biography, Drama, History	In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.
52	Black Swan	https://www.imdb.com/title/tt0947798/?ref_=adv_li_tt	2010	Drama, Thriller	Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.
53	The Matrix	https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt	1999	Action, Sci-Fi	When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.
54	American Beauty	https://www.imdb.com/title/tt0169547/?ref_=adv_li_tt	1999	Drama	A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
55	Superbad	https://www.imdb.com/title/tt0829482/?ref_=adv_li_tt	2007	Comedy	Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
